calle;calleClean;name;surname;fiabilidad;gender;category;typeofroad;wikipedia
Avenida Doña Francisquita;Doña Francisquita;Doña;Francisquita;2;female;artista;residential;
Avenida Verbena de la Paloma;Verbena de la Paloma;Verbena de la;Paloma;2;female;artista;residential;
Plaza de Santa Teresa de Jesús;de Santa Teresa de Jesús;de Santa Teresa de;Jesús;2;female;santa;residential;
Calle Beatriz de Ahumada;Beatriz de Ahumada;Beatriz de;Ahumada;2;female;religiosa;residential;https://es.wikipedia.org/wiki/Beatriz_de_Ahumada
Calle Luisa de la Cerda;Luisa de la Cerda;Luisa de la;Cerda;2;female;religiosa;residential;https://es.wikipedia.org/wiki/Luisa_de_la_Cerda
Calle Cristina Hoyos;Cristina Hoyos;Cristina;Hoyos;2;female;artista;residential;https://es.wikipedia.org/wiki/Cristina_Hoyos
Calle Carmen Amaya;Carmen Amaya;Carmen;Amaya;2;female;artista;residential;https://es.wikipedia.org/wiki/Carmen_Amaya
Calle Rigoberta Menchú;Rigoberta Menchú;Rigoberta;Menchú;2;female;politica;pedestrian;https://es.wikipedia.org/wiki/Rigoberta_Menchú
Calle Valentina Pinelo;Valentina Pinelo;Valentina;Pinelo;2;female;religiosa;residential;https://es.wikipedia.org/wiki/Valentina_Pinelo
Carolina Coronado;Carolina Coronado;Carolina;Coronado;2;female;escritora;residential;https://es.wikipedia.org/wiki/Carolina_Coronado
Glorieta Amantina Cobos;Glorieta Amantina Cobos;Glorieta Amantina;Cobos;2;female;politica;residential;
Calle Virgen de la Saletta;Virgen de la Saletta;Virgen de la;Saletta;2;female;religiosa;residential;
Calle María Guerrero;María Guerrero;María;Guerrero;2;female;artista;residential;https://es.wikipedia.org/wiki/María_Guerrero_(actriz)
Calle Tristana;Tristana;Tristana;;2;female;historica;residential;https://es.wikipedia.org/wiki/Tristana_(novela)
Calle Nuestra Señora de la Paz;Nuestra Señora de la Paz;Nuestra Señora de la;Paz;2;female;religiosa;residential;
Calle Clara Campoamor;Clara Campoamor;Clara;Campoamor;2;female;politica;residential;https://es.wikipedia.org/wiki/Clara_Campoamor
Calle Doña Clarines;Doña Clarines;Doña;Clarines;2;female;historica;residential;
Calle Abogada Rosa María Morán;Abogada Rosa María Morán;Abogada Rosa María;Morán;2;female;politica;residential;
Calle Abogada Carmen Moya;Abogada Carmen Moya;Abogada Carmen;Moya;2;female;politica;residential;
Calle Concepción Arenal;Concepción Arenal;Concepción;Arenal;2;female;politica;residential;https://es.wikipedia.org/wiki/Concepción_Arenal
Calle Rosario Pino;Rosario Pino;Rosario;Pino;2;female;artista;residential;https://es.wikipedia.org/wiki/Rosario_Pino
Calle Quinita Flores;Quinita Flores;Quinita;Flores;2;female;artista;residential;
Calle Beatriz de Suabia;Beatriz de Suabia;Beatriz de;Suabia;2;female;historica;pedestrian;https://es.wikipedia.org/wiki/Beatriz_de_Suabia
Calle Madre María Teresa;Madre María Teresa;Madre María;Teresa;2;female;religiosa;residential;
Calle Juana de Castilla;Juana de Castilla;Juana de;Castilla;2;female;historica;residential;https://es.wikipedia.org/wiki/Juana_I_de_Castilla
Calle Santa Isabel;Santa Isabel;Santa;Isabel;2;female;santa;residential;https://es.wikipedia.org/wiki/Santa_Isabel
Calle Santa Justa;Santa Justa;Santa;Justa;2;female;santa;pedestrian;
