calle;calleClean;name;surname;fiabilidad;gender;category;typeofroad;wikipedia
Calle Teniente de Navío Celestino Díaz Hernández;Teniente Navío Celestino Díaz Hernández;Teniente;Navío;-2;Male;-;-
Calle Daniel Vázquez Díaz;Daniel Vázquez Díaz;Daniel;Vázquez;-2;Male;-;-
Calle Alonso de Morales;Alonso Morales;Alonso;Morales;-2;Male;-;-
Calle Ismael Serrano;Ismael Serrano;Ismael;Serrano;-2;Male;-;-
Calle Teniente de Navío José Estrada Cepeda;Teniente Navío José Estrada Cepeda;Teniente;Navío;-2;Male;-;-
Calle Sansón Carrasco;Sansón Carrasco;Sansón;Carrasco;-2;Male;-;-
Calle Maese Nicolás;Maese Nicolás;Maese;Nicolás;-2;Male;-;-
Calle Alfonso X el Sabio;Alfonso X el Sabio;Alfonso;X;-2;Male;-;-
Calle Periodista Ángel Serradilla;Periodista Ángel Serradilla;Periodista;Ángel;-2;Male;-;-
Calle Poeta José Manuel de Lara;Poeta José Manuel Lara;Poeta;José;-2;Male;-;-
Calle Ana María Jerez Cano;Ana María Jerez Cano;Ana;María;2;Female;-;-
Calle Antonio José Martinez Navarro;Antonio José Martinez Navarro;Antonio;José;-2;Male;-;-
Calle Doña Leonor de Guzmán;Doña Leonor Guzmán;Doña;Leonor;2;Female;-;-;https://es.wikipedia.org/wiki/Leonor_de_Guzm%C3%A1n
Calle Antón de Alaminos;Antón Alaminos;Antón;Alaminos;-2;Male;-;-
Calle Vicente Yáñez Pinzón;Vicente Yáñez Pinzón;Vicente;Yáñez;-2;Male;-;-
Calle Juan Ramón Jiménez;Juan Ramón Jiménez;Juan;Ramón;-2;Male;-;-
Calle Francisco Pizarro;Francisco Pizarro;Francisco;Pizarro;-2;Male;-;-
Calle Juan Manuel Durán;Juan Manuel Durán;Juan;Manuel;-2;Male;-;-
Calle Escultora Miss Whitney;Escultora Miss Whitney;Escultora;Miss;2;Female;-;-;https://es.wikipedia.org/wiki/Gertrude_Vanderbilt_Whitney
Calle Presbítero Francisco Gaona;Presbítero Francisco Gaona;Presbítero;Francisco;-2;Male;-;-
Calle Paco Cerrejón;Paco Cerrejón;Paco;Cerrejón;-2;Male;-;-
Calle Diego Díaz Hierro;Diego Díaz Hierro;Diego;Díaz;-2;Male;-;-
Calle Ricardo Velázquez;Ricardo Velázquez;Ricardo;Velázquez;-2;Male;-;-
Calle San Salvador;San Salvador;San;Salvador;-2;Male;-;-
Calle Manuel Rodríguez Zamora;Manuel Rodríguez Zamora;Manuel;Rodríguez;-2;Male;-;-
Calle Guillermo Poole de Arco;Guillermo Poole Arco;Guillermo;Poole;-2;Male;-;-
Pasaje Pedro Argot;Pedro Argot;Pedro;Argot;-2;Male;-;-
Calle Blas Infante;Blas Infante;Blas;Infante;-2;Male;-;-
Calle San Juan;San Juan;San;Juan;-2;Male;-;-
Plaza Cristóbal Quintero;Cristóbal Quintero;Cristóbal;Quintero;-2;Male;-;-
Calle Juan Niño;Juan Niño;Juan;Niño;-2;Male;-;-
Calle San Ramón;San Ramón;San;Ramón;-2;Male;-;-
Calle Juan de la Plaza;Juan Plaza;Juan;Plaza;-2;Male;-;-
Calle Alfonso XII;Alfonso XII;Alfonso;XII;-2;Male;-;-
Calle Paco Isidro;Paco Isidro;Paco;Isidro;-2;Male;-;-
